"","time","X18.03","X28.03","X32","X40","X44.06","X45.06","TP","N2.Ar","O2.Ar","N2.O2","O2..uM.","O2.Sat....","Temp..C.","Calphase..C.","TCphase..C.","C1..C.","C2..C.","inlet","sock","outlet","MS","flow"
"301162",2017-06-14 10:48:00,4.37090322580645e-09,2.88090322580645e-07,7.14963440860215e-08,2.77109677419355e-09,1.46516129032258e-10,2.08025806451613e-12,4.80361290322581e-06,103.962854913978,25.8036778501075,4.02899406726237,356.183782795699,108.700612903226,13.1498623655914,28.3159913978495,29.4768580645161,33.8948580645161,4.41795483870968,12.4984617178065,12.6063676735914,12.5761430641505,45.9234370410108,99.9885970352043
"305811",2017-06-14 10:58:00,4.36747844827586e-09,2.88114224137931e-07,7.1470474137931e-08,2.7707974137931e-09,1.46355603448276e-10,2.08426077586207e-12,4.80495689655172e-06,103.983647018103,25.7947371413793,4.03119563131466,356.475681034483,108.790685344828,13.1503814655172,28.3066681034483,29.4684655172414,33.8854568965517,4.41694181034483,12.498818365431,12.6049127255603,12.5764006256897,45.8848602032112,100.018150533966
"31045",2017-06-14 11:08:00,4.36335483870968e-09,2.88083870967742e-07,7.14434408602151e-08,2.76997849462366e-09,1.4629247311828e-10,2.06643010752688e-12,4.80550537634409e-06,103.989638067097,25.7907831395914,4.03204622139785,356.257746236559,108.711408602151,13.145064516129,28.3156688172043,29.4765161290323,33.8938752688172,4.41726021505376,12.4937053727742,12.604210441914,12.5712078140215,45.846332706129,99.9068530349893
"31510",2017-06-14 11:18:00,4.35814655172414e-09,2.8776724137931e-07,7.12991379310345e-08,2.76752155172414e-09,1.46260775862069e-10,2.08366379310345e-12,4.80198275862069e-06,103.990773027586,25.7638987120474,4.03629737355603,356.111538793103,108.66513362069,13.1444676724138,28.3205625,29.4810064655172,33.8986120689655,4.41755818965517,12.4931044744612,12.6065202916595,12.5714328374353,45.9898439609052,99.9752539504957
"31974",2017-06-14 11:28:00,4.35207589285714e-09,2.87638392857143e-07,7.12142857142857e-08,2.76508928571429e-09,1.45930803571429e-10,2.06772321428571e-12,4.80040178571429e-06,104.020553839063,25.7549664079464,4.03885322312054,355.848761160714,108.585566964286,13.1446160714286,28.3287455357143,29.4880558035714,33.9053772321429,4.41731696428571,12.4934977808705,12.6073950364732,12.570988315067,46.1584325522545,100.001099123013
"94100",2017-06-14 12:02:00,4.23542253521127e-09,2.72342723004695e-07,6.86107981220657e-08,2.66607981220657e-09,1.41899061032864e-10,2.01335680751174e-12,4.56943661971831e-06,102.15646269554,25.7350942625117,3.96953730793662,355.85170657277,108.550523474178,13.1298051643192,28.3352300469484,29.4938990610329,33.9100492957746,4.41604929577465,12.4784719980047,12.5871746087793,12.5563600930751,45.9178718249296,99.9501820519953
"55210",2017-06-14 12:12:00,4.22713362068965e-09,2.73254310344828e-07,6.85534482758621e-08,2.6685775862069e-09,1.42165948275862e-10,2.01370905172414e-12,4.58323275862069e-06,102.393842551509,25.6875409383405,3.98613197265086,354.649267241379,108.1368125,13.1104159482759,28.3813965517241,29.5352887931034,33.9515474137931,4.41630818965517,12.4595771663578,12.5705319769181,12.5372533475,45.9022808732974,99.9874928684698
"10161",2017-06-14 12:22:00,4.22965591397849e-09,2.73578494623656e-07,6.84475268817204e-08,2.67004301075269e-09,1.42524731182796e-10,2.02630107526882e-12,4.58477419354839e-06,102.451406561935,25.6327396205591,3.99689668464731,354.292576344086,108.000434408602,13.098864516129,28.3977053763441,29.5499053763441,33.9660731182796,4.41621075268817,12.4484197806882,12.5571944043656,12.527208291871,45.9100902276344,99.9451161088172
"14811",2017-06-14 12:32:00,4.23762419006479e-09,2.73753779697624e-07,6.84291576673866e-08,2.67164146868251e-09,1.42637149028078e-10,2.03276457883369e-12,4.58453563714903e-06,102.470233952484,25.61254666,4.00078221353996,354.051306695464,107.927596112311,13.0993066954644,28.4050993520518,29.5564190064795,33.9731684665227,4.41669978401728,12.4467046428294,12.5566994854644,12.5269501197192,45.908895142743,99.974556247041
"1945",2017-06-14 12:42:00,4.24176724137931e-09,2.74012931034483e-07,6.83247844827586e-08,2.67381465517241e-09,1.43202586206897e-10,2.03772995689655e-12,4.58543103448276e-06,102.478043859052,25.5542812930819,4.01021546335129,352.951715517241,107.564105603448,13.0873512931034,28.4451056034483,29.592099137931,34.0084612068965,4.41650646551724,12.4370022481897,12.5435228025216,12.5157766018319,45.9199053013793,100.024730626595
"2409",2017-06-14 12:52:00,4.24503225806452e-09,2.74247311827957e-07,6.82159139784946e-08,2.67569892473118e-09,1.43591397849462e-10,2.03450688172043e-12,4.5854623655914e-06,102.499804328602,25.4976079593979,4.01998065376559,351.75408172043,107.172524731183,13.0762559139785,28.4879956989247,29.6304107526882,34.0466043010753,4.41629462365591,12.4305160691828,12.5325629126022,12.5036738576559,45.8929657310753,100.045714444581
